Frames (relative),Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Average
-25.0,44.854485094024824,44.64796427337691,43.45677879572992,49.878750897854445,45.2221598434786,45.27768599426687,45.556304149788595
-24.0,44.65215067672117,44.56378440238039,43.63982167948395,49.134705340405326,45.36943561549331,45.337366206417244,45.4495439868169
-23.0,44.44981625941752,44.47960453138388,43.822864563237985,48.390659782956206,45.14295452826112,45.39704641856762,45.280491013970725
-22.0,44.247481842113864,44.39542466038736,44.00590744699202,47.646614225507086,44.92463881653577,45.456726630717995,45.11279893704235
-21.0,44.04514742481021,44.31124478939085,44.18895033074605,46.90256866805797,44.55289414330373,45.51640684286837,44.91953536652954
-20.0,43.84281300750656,44.40540386453127,44.37199321450009,46.15852311060885,44.41709508484286,45.576087055018746,44.795319222834735
-19.0,43.6404785902029,44.21528071385881,44.55503609825412,45.41447755315973,44.00254157112222,45.63576726716912,44.57726363229448
-18.0,43.52504168915759,44.16860905137093,44.53254590049828,44.67043199571061,43.73046419824306,45.6954474793195,44.38709005238332
-17.0,43.3511495172561,43.95630853109947,44.40249134209073,43.92638643826149,43.23619593145055,45.75512769146987,44.104609908604694
-16.0,42.86167515373806,43.49770470487027,44.46758768267027,43.77541820241552,42.1909321256326,44.92949005982338,43.620467988191685
-15.0,42.00907881635035,42.77416611375472,44.13363351743636,43.35908923574785,42.07220542581069,44.47976229586079,43.13798923416013
-14.0,40.9650542491102,42.04419210512593,42.9078750964082,42.91385468492135,41.41688291302818,44.24354486626108,42.41523398580916
-13.0,38.83676110199941,39.83521921768904,42.42191407017415,42.19459348393369,40.83732829306473,43.82059887622456,41.32440250718093
-12.0,37.61582214927501,39.70655704524614,41.50919554224006,41.62492466765207,39.85889248102399,43.56782344456713,40.64720255500073
-11.0,36.55438395737485,38.60109329122572,40.65844419299454,39.97750263010791,39.0975452503036,42.85824874825715,39.624536345043964
-10.0,35.40230634411175,37.56524256858449,39.41708158635433,39.77126079938245,38.28424350129938,41.09768256080475,38.58963622675619
-9.0,34.53608222497287,36.59729393197549,38.35491853228408,38.29214267179475,37.71585317306147,40.94175430523232,37.73967413988683
-8.0,33.91749020526709,35.77731584938434,35.9324658599322,37.44160625121957,36.08439199853492,40.04943177221121,36.53378365609155
